Id,SalePrice
1461,112500
1462,147500
1463,175000
1464,175000
1465,185000
1466,175000
1467,173000
1468,175000
1469,140000
1470,120500
1471,185000
1472,83000
1473,88000
1474,148500
1475,133000
1476,378500
1477,233170
1478,160000
1479,320000
1480,386250
1481,285000
1482,202500
1483,175000
1484,160200
1485,184100
1486,183500
1487,240000
1488,175000
1489,185000
1490,239686
1491,195000
1492,112000
1493,160000
1494,290000
1495,175000
1496,185000
1497,185000
1498,151000
1499,151000
1500,147400
1501,172500
1502,148800
1503,185000
1504,235000
1505,185000
1506,197900
1507,240000
1508,167900
1509,201800
1510,129000
1511,147500
1512,160000
1513,140000
1514,150000
1515,160000
1516,266500
1517,163000
1518,124000
1519,266500
1520,135000
1521,142000
1522,143000
1523,167500
1524,142125
1525,122000
1526,128900
1527,112000
1528,105000
1529,155000
1530,147500
1531,127000
1532,100000
1533,124000
1534,125500
1535,140000
1536,119000
1537,60000
1538,266500
1539,140000
1540,136000
1541,112000
1542,140000
1543,140000
1544,112000
1545,105000
1546,167500
1547,127500
1548,142125
1549,112000
1550,162900
1551,100000
1552,144000
1553,136000
1554,112000
1555,140000
1556,112000
1557,107500
1558,129000
1559,136000
1560,160000
1561,136000
1562,129000
1563,100000
1564,180000
1565,154000
1566,160000
1567,112000
1568,175000
1569,167500
1570,119000
1571,112000
1572,129000
1573,160000
1574,112000
1575,160000
1576,175000
1577,185000
1578,112000
1579,152000
1580,175000
1581,136500
1582,120500
1583,305900
1584,266500
1585,140000
1586,72500
1587,112000
1588,147500
1589,125500
1590,125000
1591,112000
1592,167500
1593,121000
1594,100000
1595,87000
1596,143000
1597,154300
1598,185000
1599,124000
1600,180000
1601,60000
1602,110000
1603,82000
1604,275000
1605,233230
1606,160000
1607,171000
1608,175000
1609,186000
1610,167500
1611,112000
1612,175000
1613,210000
1614,109500
1615,97000
1616,97000
1617,83500
1618,129000
1619,110000
1620,160000
1621,147000
1622,112000
1623,275000
1624,175000
1625,112000
1626,160000
1627,175000
1628,175000
1629,168500
1630,137500
1631,175000
1632,185000
1633,180000
1634,175000
1635,175000
1636,176000
1637,160000
1638,195000
1639,175000
1640,240000
1641,160000
1642,175000
1643,175000
1644,175000
1645,210000
1646,160000
1647,210000
1648,140000
1649,157900
1650,120500
1651,120500
1652,83000
1653,83000
1654,155000
1655,147000
1656,148500
1657,146000
1658,148500
1659,125000
1660,160000
1661,315000
1662,383970
1663,394617
1664,466500
1665,255500
1666,315000
1667,310000
1668,318000
1669,287090
1670,320000
1671,175000
1672,501837
1673,285000
1674,175000
1675,196000
1676,196000
1677,207000
1678,320000
1679,315000
1680,207000
1681,137500
1682,315000
1683,171750
1684,175000
1685,175000
1686,160200
1687,167500
1688,175000
1689,178000
1690,185000
1691,185000
1692,175000
1693,185000
1694,193000
1695,175000
1696,214000
1697,170000
1698,175000
1699,301500
1700,175000
1701,175000
1702,248328
1703,175000
1704,372402
1705,175000
1706,501837
1707,250580
1708,185000
1709,175000
1710,175000
1711,175000
1712,287090
1713,287090
1714,185000
1715,185000
1716,155000
1717,142500
1718,84500
1719,200000
1720,185000
1721,142500
1722,84500
1723,140000
1724,185000
1725,175000
1726,175000
1727,181000
1728,175000
1729,175000
1730,112000
1731,124000
1732,120500
1733,112000
1734,108000
1735,137000
1736,129000
1737,315000
1738,175000
1739,175000
1740,222000
1741,199900
1742,172500
1743,183900
1744,160000
1745,167000
1746,187000
1747,175000
1748,266500
1749,160000
1750,147500
1751,175000
1752,100000
1753,124000
1754,167900
1755,160000
1756,120500
1757,100000
1758,160000
1759,160000
1760,137500
1761,140000
1762,155000
1763,167000
1764,115000
1765,167000
1766,160000
1767,160000
1768,135000
1769,160000
1770,134500
1771,140000
1772,112000
1773,124000
1774,171000
1775,119000
1776,167500
1777,110000
1778,118000
1779,167500
1780,133000
1781,147500
1782,110000
1783,112000
1784,112000
1785,112000
1786,135000
1787,140000
1788,52000
1789,105900
1790,105000
1791,200000
1792,157900
1793,147500
1794,120500
1795,128900
1796,139000
1797,95000
1798,112000
1799,112000
1800,129000
1801,136000
1802,103000
1803,155000
1804,135000
1805,147500
1806,115000
1807,145000
1808,112000
1809,136000
1810,127500
1811,136000
1812,112000
1813,112000
1814,67000
1815,35311
1816,112000
1817,112000
1818,167500
1819,161000
1820,100000
1821,112000
1822,135000
1823,67000
1824,112000
1825,112000
1826,105000
1827,112000
1828,127000
1829,100000
1830,162900
1831,136000
1832,136000
1833,266500
1834,79000
1835,122000
1836,112000
1837,109500
1838,105000
1839,80000
1840,179000
1841,150000
1842,112000
1843,132000
1844,160000
1845,197000
1846,137500
1847,190000
1848,39300
1849,112000
1850,128900
1851,140000
1852,147500
1853,140000
1854,144000
1855,160000
1856,175000
1857,107500
1858,142953
1859,118858
1860,153337
1861,118858
1862,185000
1863,185000
1864,185000
1865,325624
1866,297000
1867,175000
1868,137500
1869,194500
1870,185000
1871,185000
1872,175000
1873,175000
1874,138000
1875,175000
1876,175000
1877,175000
1878,175000
1879,119500
1880,137000
1881,175000
1882,175000
1883,185000
1884,181000
1885,175000
1886,160000
1887,210000
1888,175000
1889,156932
1890,149700
1891,145000
1892,100000
1893,112000
1894,118000
1895,140000
1896,132000
1897,109500
1898,105000
1899,112000
1900,121000
1901,160000
1902,140000
1903,266500
1904,142125
1905,124000
1906,140000
1907,155000
1908,124000
1909,124000
1910,124000
1911,160000
1912,266500
1913,106000
1914,113000
1915,392500
1916,167500
1917,175000
1918,171000
1919,170000
1920,124000
1921,378500
1922,320000
1923,160000
1924,175000
1925,266500
1926,374000
1927,135000
1928,160000
1929,133900
1930,145000
1931,133000
1932,136000
1933,175000
1934,175000
1935,175000
1936,175000
1937,175000
1938,145000
1939,175000
1940,185000
1941,175000
1942,175000
1943,180000
1944,309000
1945,374000
1946,160000
1947,137500
1948,175000
1949,137500
1950,210000
1951,175000
1952,82500
1953,160000
1954,210000
1955,112000
1956,302000
1957,152000
1958,290000
1959,136000
1960,112000
1961,120500
1962,83000
1963,83000
1964,88000
1965,148500
1966,140000
1967,207000
1968,555000
1969,315000
1970,175000
1971,160000
1972,175000
1973,181000
1974,160000
1975,466500
1976,175000
1977,315000
1978,175000
1979,318000
1980,175000
1981,318000
1982,254000
1983,175000
1984,175500
1985,246578
1986,175000
1987,167240
1988,175000
1989,181000
1990,195000
1991,207000
1992,175000
1993,162000
1994,236000
1995,181000
1996,240000
1997,285000
1998,315000
1999,160000
2000,290000
2001,290000
2002,232000
2003,175000
2004,207000
2005,175000
2006,185000
2007,232000
2008,185000
2009,175000
2010,185000
2011,84500
2012,185000
2013,175000
2014,175000
2015,185000
2016,175000
2017,185000
2018,124000
2019,120500
2020,125000
2021,112000
2022,160000
2023,130000
2024,272000
2025,285000
2026,185000
2027,151000
2028,146000
2029,179400
2030,160000
2031,175000
2032,185000
2033,160000
2034,160000
2035,186500
2036,172500
2037,172500
2038,160000
2039,270000
2040,190000
2041,160000
2042,175000
2043,140000
2044,140000
2045,160000
2046,124000
2047,147500
2048,147000
2049,142600
2050,160000
2051,106500
2052,140000
2053,135000
2054,112000
2055,155000
2056,140000
2057,135000
2058,175000
2059,139000
2060,136000
2061,149500
2062,147500
2063,112000
2064,140000
2065,112000
2066,266500
2067,112000
2068,167500
2069,112000
2070,112000
2071,108000
2072,160000
2073,160000
2074,149700
2075,135000
2076,120500
2077,147500
2078,129000
2079,266500
2080,113000
2081,112000
2082,141000
2083,140000
2084,112000
2085,141000
2086,147000
2087,132000
2088,112000
2089,80000
2090,136000
2091,136000
2092,112000
2093,167500
2094,100000
2095,140000
2096,58500
2097,96500
2098,140000
2099,60000
2100,112000
2101,167500
2102,128000
2103,105000
2104,137000
2105,136000
2106,67000
2107,266500
2108,142125
2109,112000
2110,139000
2111,140000
2112,112000
2113,125500
2114,112000
2115,140000
2116,112000
2117,117000
2118,266500
2119,91000
2120,112000
2121,72500
2122,120000
2123,72500
2124,266500
2125,136000
2126,266500
2127,266500
2128,114504
2129,115000
2130,136000
2131,266500
2132,112000
2133,132000
2134,266500
2135,105900
2136,106250
2137,142125
2138,129000
2139,148000
2140,127000
2141,145000
2142,143000
2143,130000
2144,125000
2145,129000
2146,155000
2147,125000
2148,125500
2149,156000
2150,175000
2151,116900
2152,165500
2153,167500
2154,112000
2155,266500
2156,175000
2157,175000
2158,175000
2159,175000
2160,156932
2161,287090
2162,501837
2163,394617
2164,175000
2165,235000
2166,145000
2167,175000
2168,193000
2169,185000
2170,230000
2171,160000
2172,148000
2173,140000
2174,175000
2175,175000
2176,275000
2177,175000
2178,175000
2179,155900
2180,206300
2181,210000
2182,185000
2183,175000
2184,147500
2185,145000
2186,148000
2187,160000
2188,149500
2189,160000
2190,82000
2191,82000
2192,112000
2193,127000
2194,80500
2195,119000
2196,112000
2197,112000
2198,143000
2199,160000
2200,105000
2201,105000
2202,266500
2203,175000
2204,188700
2205,115000
2206,155000
2207,121000
2208,266500
2209,180000
2210,124000
2211,112000
2212,119000
2213,167500
2214,137500
2215,112000
2216,167500
2217,167500
2218,112000
2219,112000
2220,112000
2221,392500
2222,275000
2223,185000
2224,175000
2225,90000
2226,150000
2227,175000
2228,185000
2229,160000
2230,167500
2231,185000
2232,175000
2233,175000
2234,175000
2235,185000
2236,160000
2237,232000
2238,206300
2239,84500
2240,162000
2241,175000
2242,129900
2243,127000
2244,91000
2245,91000
2246,135000
2247,97000
2248,130500
2249,124500
2250,119500
2251,136000
2252,160000
2253,167500
2254,175000
2255,193000
2256,175000
2257,175000
2258,140000
2259,175000
2260,160000
2261,170000
2262,180000
2263,281213
2264,280000
2265,160000
2266,185000
2267,274000
2268,377500
2269,112000
2270,175000
2271,210000
2272,175000
2273,147500
2274,175000
2275,160000
2276,160000
2277,160000
2278,140000
2279,115000
2280,112000
2281,175000
2282,175000
2283,83000
2284,118000
2285,140000
2286,100000
2287,377500
2288,175000
2289,175000
2290,440000
2291,281213
2292,315000
2293,555000
2294,556581
2295,385000
2296,129000
2297,335000
2298,392500
2299,285000
2300,175000
2301,160000
2302,232000
2303,185000
2304,233230
2305,196000
2306,196000
2307,194700
2308,209500
2309,277500
2310,254000
2311,171750
2312,172785
2313,181000
2314,156932
2315,175000
2316,174000
2317,160000
2318,175000
2319,175000
2320,176485
2321,175000
2322,159895
2323,185000
2324,170000
2325,175000
2326,160000
2327,195000
2328,236000
2329,175000
2330,175000
2331,315000
2332,175000
2333,175000
2334,248000
2335,175000
2336,290000
2337,185000
2338,282922
2339,175000
2340,385000
2341,181000
2342,175000
2343,175000
2344,175000
2345,185000
2346,185000
2347,185000
2348,175000
2349,136000
2350,175000
2351,264132
2352,175000
2353,175000
2354,147000
2355,84500
2356,142500
2357,179600
2358,175000
2359,120000
2360,129000
2361,132500
2362,160000
2363,142500
2364,137500
2365,175000
2366,185000
2367,185000
2368,185000
2369,185000
2370,179400
2371,177500
2372,185000
2373,175000
2374,160000
2375,270000
2376,244000
2377,244000
2378,140000
2379,266500
2380,147000
2381,147500
2382,160000
2383,175000
2384,160000
2385,140000
2386,160000
2387,140000
2388,101800
2389,160000
2390,142125
2391,120500
2392,110000
2393,140000
2394,155000
2395,175000
2396,158000
2397,166000
2398,129000
2399,112000
2400,82500
2401,112000
2402,135000
2403,124000
2404,145000
2405,132500
2406,129000
2407,134500
2408,129000
2409,139000
2410,139000
2411,114500
2412,141000
2413,147500
2414,118000
2415,124000
2416,160000
2417,142125
2418,142125
2419,108500
2420,119000
2421,147500
2422,110500
2423,115000
2424,160000
2425,189000
2426,160000
2427,136000
2428,127500
2429,112000
2430,135000
2431,91500
2432,127000
2433,135000
2434,141000
2435,180000
2436,106500
2437,115000
2438,123000
2439,115000
2440,112000
2441,60000
2442,112000
2443,135000
2444,122900
2445,112000
2446,137500
2447,266500
2448,121000
2449,112000
2450,160000
2451,131000
2452,266500
2453,112000
2454,112000
2455,112000
2456,112000
2457,112000
2458,105000
2459,100000
2460,131000
2461,112000
2462,112000
2463,105000
2464,266500
2465,112000
2466,112000
2467,105000
2468,112000
2469,112000
2470,266500
2471,161000
2472,140000
2473,112000
2474,112000
2475,140000
2476,136000
2477,125000
2478,137500
2479,112000
2480,130000
2481,137000
2482,129000
2483,122000
2484,147000
2485,125000
2486,140000
2487,160000
2488,140000
2489,140000
2490,139000
2491,112000
2492,160000
2493,160000
2494,160000
2495,112000
2496,175000
2497,152000
2498,129000
2499,84000
2500,140000
2501,135000
2502,140000
2503,112000
2504,175000
2505,175000
2506,230000
2507,305900
2508,175000
2509,185000
2510,175000
2511,175000
2512,175000
2513,167900
2514,260000
2515,145000
2516,175000
2517,145000
2518,144000
2519,175000
2520,175000
2521,175000
2522,175000
2523,132500
2524,140000
2525,160000
2526,122000
2527,55000
2528,112500
2529,129000
2530,120500
2531,175000
2532,175000
2533,185000
2534,203000
2535,240000
2536,175000
2537,175000
2538,185000
2539,185000
2540,175000
2541,175000
2542,136000
2543,158000
2544,124000
2545,160000
2546,142000
2547,132500
2548,112000
2549,136000
2550,184750
2551,145000
2552,142125
2553,82000
2554,136000
2555,112000
2556,100000
2557,112000
2558,200000
2559,112000
2560,139000
2561,115000
2562,112000
2563,114504
2564,266500
2565,160000
2566,112000
2567,160000
2568,143000
2569,175000
2570,124000
2571,145000
2572,145000
2573,175000
2574,160000
2575,131000
2576,136000
2577,136000
2578,99900
2579,60000
2580,136000
2581,149700
2582,108000
2583,235000
2584,175000
2585,145000
2586,175000
2587,175000
2588,129000
2589,135960
2590,175000
2591,160000
2592,185000
2593,265900
2594,162500
2595,220000
2596,312500
2597,175000
2598,175000
2599,175000
2600,160000
2601,136500
2602,88000
2603,91000
2604,75000
2605,88000
2606,135000
2607,175000
2608,160000
2609,120500
2610,112000
2611,98600
2612,160000
2613,124500
2614,130000
2615,266500
2616,155000
2617,168000
2618,143000
2619,160000
2620,193000
2621,175000
2622,175000
2623,281213
2624,175000
2625,171000
2626,175000
2627,170000
2628,438780
2629,438780
2630,281213
2631,437154
2632,438780
2633,277500
2634,315000
2635,144000
2636,175000
2637,140000
2638,200000
2639,160000
2640,155000
2641,120500
2642,175000
2643,83000
2644,125000
2645,83000
2646,83000
2647,88000
2648,127500
2649,140000
2650,266500
2651,146000
2652,175000
2653,175000
2654,227000
2655,374000
2656,233230
